ut;addr_no;country;code;city;organisation;pubs
WOS:000339115800025;8;USA;US;Santa Cruz;University of California System;108
WOS:000339115800025;9;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000339115800025;9;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000339115800025;11;Japan;JP;Nagoya;Nagoya University;116
WOS:000339115800025;12;Japan;JP;Tokyo;University of Tokyo;142
WOS:000339115800025;13;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000339115800025;13;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000339324400013;1;South Korea;KR;Taejon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000341172100074;2;Japan;JP;Asakuchi;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000341172100074;2;Japan;JP;Asakuchi;National Astronomical Observatory of Japan;135
WOS:000341172100074;5;South Korea;KR;Taejon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000341172100074;14;Japan;JP;Ishigaki;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000341172100074;14;Japan;JP;Ishigaki;National Astronomical Observatory of Japan;135
WOS:000341172100074;18;Japan;JP;Nagoya;Nagoya University;116
WOS:000341172100074;19;Japan;JP;Nagoya;Nagoya University;116
WOS:000341172100074;20;Germany;DE;Garching;Max Planck Society;198
WOS:000341172100074;21;Japan;JP;Tokyo;University of Tokyo;142
WOS:000341185900129;2;Germany;DE;Gottingen;Max Planck Society;198
WOS:000341777400004;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000341777400004;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000341777400004;4;Japan;JP;Mitaka;University of Tokyo;142
WOS:000341777400004;5;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000341777400004;5;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000341777400004;6;Japan;JP;Tokyo;University of Tokyo;142
WOS:000342581200052;1;USA;US;Columbus;Ohio State University;107
WOS:000342920400015;1;England;GB;Keele;Keele University;132
WOS:000342920400015;5;USA;US;Berkeley;University of California System;108
WOS:000343092100117;2;Germany;DE;Gottingen;Max Planck Society;198
WOS:000344158500139;2;England;GB;Keele;Keele University;132
WOS:000344158500139;3;England;GB;Coventry;University of Warwick;144
WOS:000344158500139;4;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000344158500139;6;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000344158500139;8;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000344158500139;9;France;FR;St Michel;Centre National de la Recherche Scientifique (CNRS);128
WOS:000344158500139;10;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000344878900075;6;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000344878900075;6;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000345455500016;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000345455500016;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000345455500016;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000347245100038;10;USA;US;Pasadena;California Institute of Technology;154
WOS:000348214500044;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000348214500044;2;Japan;JP;Mitaka;University of Tokyo;142
WOS:000348214500044;3;Japan;JP;Kiso;University of Tokyo;142
WOS:000348214500044;8;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000348214500044;8;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000350273400020;2;England;GB;Keele;Keele University;132
WOS:000350273400020;3;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000350273400020;4;USA;US;Santa Cruz;University of California System;108
WOS:000350273400020;5;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000350806000004;5;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000350806000004;6;Switzerland;CH;Versoix;University of Geneva;100
WOS:000350806000004;7;France;FR;St Martin Dheres;Centre National de la Recherche Scientifique (CNRS);128
WOS:000350806000004;8;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000350806000027;3;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000351834700028;6;USA;US;Cambridge;Harvard University;103
WOS:000351834700028;6;USA;US;Cambridge;Smithsonian Institution;132
WOS:000351834700028;8;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000351834700028;9;USA;US;Santa Cruz;University of California System;108
WOS:000353014500012;5;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000353014500012;5;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000353014500012;6;Japan;JP;Asakuchi;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000353014500012;6;Japan;JP;Asakuchi;National Astronomical Observatory of Japan;135
WOS:000353014500012;7;Japan;JP;Ishigaki;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000353014500012;7;Japan;JP;Ishigaki;National Astronomical Observatory of Japan;135
WOS:000353014500012;9;Japan;JP;Mitaka;University of Tokyo;142
WOS:000353014500012;10;Japan;JP;Tokyo;University of Tokyo;142
WOS:000353014500012;11;Japan;JP;Nagoya;Nagoya University;116
WOS:000353516200018;5;Japan;JP;Nagoya;Nagoya University;116
WOS:000353516200018;6;Japan;JP;Nagoya;Nagoya University;116
WOS:000353818000006;3;Japan;JP;Tokyo;University of Tokyo;142
WOS:000353818000006;4;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000353818000006;4;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000353818000006;5;South Korea;KR;Taejon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000355345600071;2;England;GB;Keele;Keele University;132
WOS:000357129500046;6;Japan;JP;Kashiwa;University of Tokyo;142
WOS:000357129500046;7;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000357129500046;7;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000357129500046;8;Japan;JP;Nagoya;Nagoya University;116
WOS:000357129500046;10;Japan;JP;Asakuchi;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000357129500046;10;Japan;JP;Asakuchi;National Astronomical Observatory of Japan;135
WOS:000357129500046;15;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000357129500046;15;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000357129500046;16;Japan;JP;Ishigaki;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000357129500046;16;Japan;JP;Ishigaki;National Astronomical Observatory of Japan;135
WOS:000357129500046;18;Japan;JP;Mitaka;University of Tokyo;142
WOS:000357502600140;4;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000357502600140;11;Germany;DE;Gottingen;Max Planck Society;198
WOS:000357502600140;16;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000357502600140;19;South Korea;KR;Taejon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000357502600140;24;England;GB;Keele;Keele University;132
WOS:000357502600148;2;England;GB;Coventry;University of Warwick;144
WOS:000357744400018;1;England;GB;Keele;Keele University;132
WOS:000357744400018;2;Scotland;GB;North Haugh;University of St Andrews;104
WOS:000357744400018;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000357744400018;5;England;GB;Coventry;University of Warwick;144
WOS:000360824000028;4;USA;US;Cambridge;Harvard University;103
WOS:000360824000028;4;USA;US;Cambridge;Smithsonian Institution;132
WOS:000360824000028;5;Japan;JP;Nagoya;Nagoya University;116
WOS:000360846400077;1;England;GB;Coventry;University of Warwick;144
WOS:000360846400077;2;England;GB;Coventry;University of Warwick;144
WOS:000360851100014;1;England;GB;Keele;Keele University;132
WOS:000360862100021;6;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000360862100021;9;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000360862100021;10;USA;US;Pasadena;California Institute of Technology;154
WOS:000360862100021;10;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000361653500042;1;USA;US;Pasadena;California Institute of Technology;154
WOS:000361653500042;2;USA;US;Santa Barbara;University of California System;108
WOS:000361653500042;5;USA;US;Pasadena;California Institute of Technology;154
WOS:000361653500042;7;USA;US;Cambridge;Harvard University;103
WOS:000361653500042;7;USA;US;Cambridge;Smithsonian Institution;132
WOS:000361653500042;9;USA;US;Mountain View;National Aeronautics & Space Administration (NASA);162
WOS:000363471600033;6;USA;US;Pasadena;California Institute of Technology;154
WOS:000363513800073;5;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000363513800073;5;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000363538500119;4;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000364049900017;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000364049900017;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000364049900017;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000365072200012;11;England;GB;Coventry;University of Warwick;144
WOS:000365072200126;1;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000365072200126;3;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000365072200134;4;France;FR;Gif Sur Yvette;Centre National de la Recherche Scientifique (CNRS);128
WOS:000365072200134;5;Germany;DE;Garching;Max Planck Society;198
WOS:000365206600073;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000365317300020;2;USA;US;Santa Barbara;University of California System;108
WOS:000365317300020;4;USA;US;Pasadena;California Institute of Technology;154
WOS:000365317300020;7;USA;US;Cambridge;Harvard University;103
WOS:000365317300020;7;USA;US;Cambridge;Smithsonian Institution;132
WOS:000368000400064;1;England;GB;Keele;Keele University;132
WOS:000368000400064;2;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000368000400064;3;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000368000400064;4;USA;US;Pasadena;California Institute of Technology;154
WOS:000368000400064;4;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000368000400064;9;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000368000400064;12;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000368000400064;22;South Korea;KR;Daejeon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000368005900082;9;USA;US;Amado;Harvard University;103
WOS:000368005900082;9;USA;US;Amado;Smithsonian Institution;132
WOS:000368005900082;21;Germany;DE;Garching;Max Planck Society;198
WOS:000368005900082;23;USA;US;Huntsville;National Aeronautics & Space Administration (NASA);162
WOS:000368008200007;1;England;GB;Keele;Keele University;132
WOS:000368238500026;1;USA;US;Pasadena;California Institute of Technology;154
WOS:000368238500026;10;USA;US;Pasadena;California Institute of Technology;154
WOS:000368238500026;16;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000368982300002;2;South Korea;KR;Daejeon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000368982300002;4;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000368982300002;4;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000368982300002;4;Japan;JP;Mitaka;University of Tokyo;142
WOS:000369437900062;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000369437900062;2;Japan;JP;Mitaka;University of Tokyo;142
WOS:000369437900062;3;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000369437900062;3;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000369437900062;5;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000369437900062;5;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000369437900062;10;Japan;JP;Nagoya;Nagoya University;116
WOS:000369710300133;1;England;GB;Coventry;University of Warwick;144
WOS:000369710300133;2;England;GB;Keele;Keele University;132
WOS:000369710300133;3;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000369710300133;4;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000369710300133;5;France;FR;St Michel lObservatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000369710300133;6;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000369710300133;8;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000369715900092;1;Germany;DE;Garching;Max Planck Society;198
WOS:000371248600025;1;USA;US;Cambridge;Harvard University;103
WOS:000371248600025;1;USA;US;Cambridge;Smithsonian Institution;132
WOS:000371248600025;5;USA;US;Columbus;Ohio State University;107
WOS:000371248600025;13;USA;US;Pasadena;California Institute of Technology;154
WOS:000371248600025;16;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000371589800065;2;England;GB;Keele;Keele University;132
WOS:000371589800065;3;England;GB;Coventry;University of Warwick;144
WOS:000371853200005;1;South Korea;KR;Daejeon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000372265800042;8;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000372265800042;9;USA;US;Cambridge;Harvard University;103
WOS:000372265800042;9;USA;US;Cambridge;Smithsonian Institution;132
WOS:000372303400055;3;USA;US;Irvine;University of California System;108
WOS:000372787000055;10;USA;US;Berkeley;University of California System;108
WOS:000372787000055;13;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000372787000055;13;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000372787000055;15;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000372787000055;16;USA;US;Pasadena;California Institute of Technology;154
WOS:000372787000055;17;USA;US;Pasadena;California Institute of Technology;154
WOS:000373207800017;4;USA;US;Pasadena;California Institute of Technology;154
WOS:000373207800017;5;USA;US;Berkeley;University of California System;108
WOS:000373207800017;7;USA;US;Santa Barbara;University of California System;108
WOS:000373207800017;9;USA;US;Pasadena;California Institute of Technology;154
WOS:000373207800017;11;USA;US;Pasadena;California Institute of Technology;154
WOS:000373207800092;14;France;FR;Besancon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000373207800156;1;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000373207800156;2;France;FR;St Michel lObservatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000373207800156;7;France;FR;Grenoble;Centre National de la Recherche Scientifique (CNRS);128
WOS:000373207800156;8;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000373207800156;9;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000373580500016;5;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000373580500016;12;England;GB;Coventry;University of Warwick;144
WOS:000373580500016;13;USA;US;Columbus;Ohio State University;107
WOS:000373583900038;2;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000373583900038;2;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000373583900038;3;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000373583900038;3;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000373651800024;2;France;FR;Besancon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000373741300008;8;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000373741300008;8;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000373741300008;15;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000373741300008;18;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000373741300011;2;USA;US;Cambridge;Harvard University;103
WOS:000373741300011;2;USA;US;Cambridge;Smithsonian Institution;132
WOS:000373741300011;13;USA;US;Berkeley;University of California System;108
WOS:000373741300011;15;USA;US;Santa Barbara;University of California System;108
WOS:000373741300011;21;Japan;JP;Kashiwa;University of Tokyo;142
WOS:000374569600075;2;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000375318300101;6;Germany;DE;Garching;Max Planck Society;198
WOS:000375318300101;11;Germany;DE;Garching;Max Planck Society;198
WOS:000375318300101;12;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000375318300101;13;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000375318300101;14;England;GB;Coventry;University of Warwick;144
WOS:000375318300101;18;USA;US;Davis;University of California System;108
WOS:000375609100002;4;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000375609100002;5;Switzerland;CH;Versoix;University of Geneva;100
WOS:000375609100003;2;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000375609100003;3;USA;US;Pasadena;California Institute of Technology;154
WOS:000375609100003;9;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000375799500054;4;France;FR;Grenoble;Centre National de la Recherche Scientifique (CNRS);128
WOS:000375799500054;5;England;GB;Keele;Keele University;132
WOS:000375799500054;6;Scotland;GB;North Haugh;University of St Andrews;104
WOS:000375799500054;7;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000375799500054;10;England;GB;Coventry;University of Warwick;144
WOS:000377204900057;3;Japan;JP;Tokyo;University of Tokyo;142
WOS:000377204900057;4;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000377204900057;4;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000377990300004;5;France;FR;Grenoble;Centre National de la Recherche Scientifique (CNRS);128
WOS:000378106800114;3;USA;US;Cambridge;Harvard University;103
WOS:000378106800114;3;USA;US;Cambridge;Smithsonian Institution;132
WOS:000379141300064;1;England;GB;Keele;Keele University;132
WOS:000379141300064;2;Scotland;GB;North Haugh;University of St Andrews;104
WOS:000379141300064;5;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000379141300064;7;England;GB;Coventry;University of Warwick;144
WOS:000379141300133;1;England;GB;Keele;Keele University;132
WOS:000379141300133;3;England;GB;Coventry;University of Warwick;144
WOS:000379830700042;1;USA;US;Davis;University of California System;108
WOS:000379830700042;3;USA;US;Santa Barbara;University of California System;108
WOS:000379830700042;5;USA;US;Berkeley;University of California System;108
WOS:000379830700042;6;USA;US;Santa Barbara;University of California System;108
WOS:000379840900035;8;USA;US;Santa Barbara;University of California System;108
WOS:000379840900064;6;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000379840900064;6;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000381912800031;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000381912800031;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000381912800031;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000381930000073;2;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000381930000073;2;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000381940800050;1;USA;US;Cambridge;Harvard University;103
WOS:000381940800050;1;USA;US;Cambridge;Smithsonian Institution;132
WOS:000381940800050;4;USA;US;Berkeley;University of California System;108
WOS:000381940800050;10;USA;US;Berkeley;University of California System;108
WOS:000381940800050;12;USA;US;Pasadena;California Institute of Technology;154
WOS:000381940800050;12;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000381940800050;16;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000381940800050;17;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000381940800050;19;USA;US;Pasadena;California Institute of Technology;154
WOS:000381940800050;26;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000381940800050;26;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000381962200044;8;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000381962200044;8;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000381962200044;9;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000381962200044;9;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000381962200044;13;USA;US;Pasadena;California Institute of Technology;154
WOS:000381962200044;13;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000381962200044;16;England;GB;Keele;Keele University;132
WOS:000381962200090;1;South Korea;KR;Daejeon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000382009500011;3;South Korea;KR;Daejeon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000382009500011;4;USA;US;Columbus;Ohio State University;107
WOS:000382009500011;5;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000382009500011;10;USA;US;Cambridge;Harvard University;103
WOS:000382009500011;10;USA;US;Cambridge;Smithsonian Institution;132
WOS:000383269900022;6;USA;US;Columbus;Ohio State University;107
WOS:000383269900022;7;USA;US;Santa Cruz;University of California System;108
WOS:000383273600064;4;USA;US;Davis;University of California System;108
WOS:000383273600064;9;Germany;DE;Garching;Max Planck Society;198
WOS:000383273600064;16;USA;US;Santa Barbara;University of California System;108
WOS:000383273600083;2;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000383273600083;2;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000383273600083;5;England;GB;Keele;Keele University;132
WOS:000383516700035;4;USA;US;Santa Barbara;University of California System;108
WOS:000383516700035;7;USA;US;Santa Barbara;University of California System;108
WOS:000383516700035;10;USA;US;Davis;University of California System;108
WOS:000383516700094;2;England;GB;Keele;Keele University;132
WOS:000383804300015;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000383804300015;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000383804300015;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000383804300015;4;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000384722600157;1;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000385634000001;1;Japan;JP;Mitaka;University of Tokyo;142
WOS:000385634000001;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000385634000001;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000385634000001;3;Japan;JP;Nagoya;Nagoya University;116
WOS:000385634000001;10;Japan;JP;Asakuchi;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000385634000001;10;Japan;JP;Asakuchi;National Astronomical Observatory of Japan;135
WOS:000385634000001;12;Japan;JP;Nagoya;Nagoya University;116
WOS:000385634000001;15;Japan;JP;Kashiwa;University of Tokyo;142
WOS:000385634000011;3;Switzerland;CH;Versoix;University of Geneva;100
WOS:000385686500006;3;USA;US;Columbus;Ohio State University;107
WOS:000385686500006;4;South Korea;KR;Daejon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000385686500006;7;USA;US;Cambridge;Harvard University;103
WOS:000385686500006;7;USA;US;Cambridge;Smithsonian Institution;132
WOS:000385749000006;3;Switzerland;CH;Versoix;University of Geneva;100
WOS:000385749000006;5;USA;US;Cambridge;Harvard University;103
WOS:000385749000006;5;USA;US;Cambridge;Smithsonian Institution;132
WOS:000385749000006;6;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000385820100012;2;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000385820100012;3;England;GB;Coventry;University of Warwick;144
WOS:000385820100012;4;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000385820100012;6;France;FR;St Michel lObservatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000385820100012;8;England;GB;Keele;Keele University;132
WOS:000385820100012;11;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000385820100012;16;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000385832200095;2;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000385832200095;17;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000385832200095;19;France;FR;St Genis Laval;Centre National de la Recherche Scientifique (CNRS);128
WOS:000386203400001;4;Japan;JP;Kashiwa;University of Tokyo;142
WOS:000386203400001;5;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000386203400001;5;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000386203400001;8;Japan;JP;Nagoya;Nagoya University;116
WOS:000386203400001;13;Japan;JP;Ishigaki;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000386203400001;13;Japan;JP;Ishigaki;National Astronomical Observatory of Japan;135
WOS:000386203400001;14;Japan;JP;Asakuchi;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000386203400001;14;Japan;JP;Asakuchi;National Astronomical Observatory of Japan;135
WOS:000386203400001;17;Japan;JP;Mitaka;University of Tokyo;142
WOS:000386583400002;1;USA;US;Columbus;Ohio State University;107
WOS:000386583400002;2;USA;US;Pasadena;California Institute of Technology;154
WOS:000386583400002;2;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000386583400002;3;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000386865600003;1;South Korea;KR;Daejeon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000386865600005;1;South Korea;KR;Daejeon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000387110500004;1;England;GB;Keele;Keele University;132
WOS:000387110500004;2;Scotland;GB;North Haugh;University of St Andrews;104
WOS:000387110500004;5;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000387110500004;6;England;GB;Coventry;University of Warwick;144
WOS:000387112300003;2;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000388186700001;5;Switzerland;CH;Versoix;University of Geneva;100
WOS:000388186700001;11;USA;US;Cambridge;Harvard University;103
WOS:000388186700001;11;USA;US;Cambridge;Smithsonian Institution;132
WOS:000388573500116;2;France;FR;Besancon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000388573500124;2;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000388573500124;4;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000388573500124;6;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000388573500124;9;Switzerland;CH;Versoix;University of Geneva;100
WOS:000388573500124;11;France;FR;St Genis Laval;Centre National de la Recherche Scientifique (CNRS);128
WOS:000389248100001;6;Japan;JP;Tokyo;University of Tokyo;142
WOS:000390336400007;1;USA;US;Pasadena;California Institute of Technology;154
WOS:000390336400007;1;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000390336400007;2;USA;US;Columbus;Ohio State University;107
WOS:000390336400007;5;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000390336400007;5;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000390336400007;8;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000390336400007;10;Japan;JP;Nagoya;Nagoya University;116
WOS:000390336400007;14;Japan;JP;Asakuchi;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000390336400007;14;Japan;JP;Asakuchi;National Astronomical Observatory of Japan;135
WOS:000390336400007;22;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000390336400007;23;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000390336400007;35;USA;US;Pasadena;California Institute of Technology;154
WOS:000390336400007;35;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000390336400007;37;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000390336400007;38;England;GB;Keele;Keele University;132
