ut;addr_no;country;code;city;organisation;pubs
WOS:000273057300039;2;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000273057300039;4;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000274848100044;1;USA;US;Columbus;Ohio State University;107
WOS:000274848100044;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000274848100044;4;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000274848100044;13;Japan;JP;Nagoya;Nagoya University;116
WOS:000274848100044;20;South Korea;KR;Taejon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000274848100044;28;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000274848100044;32;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000276973100003;4;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000276973100003;4;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000277960000020;3;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000277960000020;3;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000277960000020;6;Japan;JP;Nagoya;Nagoya University;116
WOS:000278459000051;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000279430800004;5;France;FR;Gif Sur Yvette;Centre National de la Recherche Scientifique (CNRS);128
WOS:000280126200073;1;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000280126200073;1;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000280275400045;2;France;FR;Gif Sur Yvette;Centre National de la Recherche Scientifique (CNRS);128
WOS:000280275400045;4;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000280275400045;8;Germany;DE;Katlenburg Lindau;Max Planck Society;198
WOS:000280275400048;1;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000280658000020;3;Japan;JP;Tokyo;University of Tokyo;142
WOS:000280710300005;2;France;FR;Orsay;Centre National de la Recherche Scientifique (CNRS);128
WOS:000282192300005;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000282192300005;3;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000282192300005;3;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000282192300005;4;Japan;JP;Nagano;University of Tokyo;142
WOS:000283055400024;3;England;GB;Keele;Keele University;132
WOS:000283064200024;2;England;GB;Keele;Keele University;132
WOS:000283064200024;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000283064200024;7;USA;US;Pasadena;California Institute of Technology;154
WOS:000283064200024;7;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000283064200024;9;England;GB;Coventry;University of Warwick;144
WOS:000283064200109;1;England;GB;Keele;Keele University;132
WOS:000283064200109;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000283064200109;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000283064200109;8;England;GB;Coventry;University of Warwick;144
WOS:000284075200012;1;England;GB;Keele;Keele University;132
WOS:000284075200012;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000284075200012;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000284143500036;1;England;GB;Keele;Keele University;132
WOS:000284143500036;2;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000284143500036;7;Scotland;GB;Haugh;University of St Andrews;104
WOS:000284143500036;8;USA;US;Cambridge;Harvard University;103
WOS:000284143500036;10;England;GB;Coventry;University of Warwick;144
WOS:000284153100043;1;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000284153100043;6;USA;US;Cambridge;Harvard University;103
WOS:000284153100043;6;USA;US;Cambridge;Smithsonian Institution;132
WOS:000284153100043;7;England;GB;Keele;Keele University;132
WOS:000285291100008;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000285291100008;4;England;GB;Keele;Keele University;132
WOS:000285291100008;6;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000285291100008;10;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000285291100008;11;England;GB;Coventry;University of Warwick;144
WOS:000285291100008;12;France;FR;St Michel lObservatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000285335300005;1;England;GB;Keele;Keele University;132
WOS:000285335300005;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000285335300005;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000285342500065;2;Germany;DE;Garching;Max Planck Society;198
WOS:000285710700005;1;England;GB;Keele;Keele University;132
WOS:000285710700005;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000285710700005;3;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000285766000013;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000286004300020;1;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000286004300020;2;England;GB;Keele;Keele University;132
WOS:000286004300020;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000286458400051;3;England;GB;Keele;Keele University;132
WOS:000286458400051;10;England;GB;Coventry;University of Warwick;144
WOS:000286458400089;3;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000286458400089;3;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000286458400089;4;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000286458400089;4;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000286458400089;6;USA;US;Berkeley;University of California System;108
WOS:000286458400142;1;England;GB;Keele;Keele University;132
WOS:000286458400142;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000286458400142;3;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000286458400142;8;England;GB;Coventry;University of Warwick;144
WOS:000287231000015;4;England;GB;Coventry;University of Warwick;144
WOS:000288256600015;1;Japan;JP;Tokyo;University of Tokyo;142
WOS:000288256600015;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000288256600015;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000288256600015;3;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000288256600015;3;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000288441900018;6;USA;US;Cambridge;Harvard University;103
WOS:000288441900018;12;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000288541600102;3;England;GB;Coventry;University of Warwick;144
WOS:000288541600102;4;England;GB;Keele;Keele University;132
WOS:000288541600102;6;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000288541600102;10;USA;US;Pasadena;California Institute of Technology;154
WOS:000288541600102;10;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000288541600125;3;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000288541600125;4;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000288541600125;5;France;FR;Gif Sur Yvette;Centre National de la Recherche Scientifique (CNRS);128
WOS:000289295800017;2;Japan;JP;Tokyo;University of Tokyo;142
WOS:000289295800017;3;Japan;JP;Nagano;University of Tokyo;142
WOS:000289525000039;1;USA;US;Berkeley;University of California System;108
WOS:000290943000004;1;England;GB;Keele;Keele University;132
WOS:000290943000004;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000290943000004;3;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000290943000005;1;England;GB;Keele;Keele University;132
WOS:000290943000005;3;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000290943000005;5;France;FR;St Michel lObservatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000290943000005;6;Scotland;GB;Haugh;University of St Andrews;104
WOS:000290943000005;7;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000290943000005;10;England;GB;Coventry;University of Warwick;144
